,elk_reproduce,wolf_reproduce,pack_size_threshold,Run,Elk,Wolves,Packs,Killed Elks/Wolf,Elks age
32044,0.05196777343750001,0.047045898437500004,2,21,4,0.20175781250000002,8,17,2.341074020319301
32045,0.05196777343750001,0.047045898437500004,2,18,7,0.20175781250000002,8,17,2.341074020319301
32046,0.05196777343750001,0.047045898437500004,2,18,4,0.20566406250000002,8,17,1.2788461538461526
32047,0.05196777343750001,0.047045898437500004,2,18,4,0.20175781250000002,9,17,1.2788461538461526
32048,0.05196777343750001,0.047045898437500004,2,18,4,0.20175781250000002,8,37,1.2788461538461526
32049,0.0822021484375,0.0996044921875,3,21,7,0.20566406250000002,9,37,0.0
32050,0.0969677734375,0.09204589843750001,3,5,7,0.4017578125,5,32,2.522514071294561
32051,0.037202148437500006,0.09204589843750001,3,5,7,0.4017578125,5,32,0.0
32052,0.0969677734375,0.054604492187500006,3,5,7,0.4017578125,5,32,0.0
32053,0.0969677734375,0.09204589843750001,2,5,7,0.4017578125,5,32,0.0
32054,0.0969677734375,0.09204589843750001,3,9,7,0.4017578125,5,32,0.0
32055,0.0969677734375,0.09204589843750001,3,5,4,0.4017578125,5,32,2.3692307692307697
32056,0.0969677734375,0.09204589843750001,3,5,7,0.4056640625,5,32,2.3108412055780523
32057,0.0969677734375,0.09204589843750001,3,5,7,0.4017578125,6,32,2.3108412055780523
32058,0.0969677734375,0.09204589843750001,3,5,7,0.4017578125,5,22,7.730769230769295
32059,0.037202148437500006,0.054604492187500006,2,9,4,0.4056640625,6,22,0.0
32060,0.07446777343750001,0.0245458984375,2,24,5,0.3017578125,7,39,2.1574946792338094
32061,0.0147021484375,0.0245458984375,2,24,5,0.3017578125,7,39,7.730769230769295
32062,0.07446777343750001,0.0321044921875,2,24,5,0.3017578125,7,39,2.522514071294561
32063,0.07446777343750001,0.0245458984375,2,24,5,0.3017578125,7,39,2.290598290598288
32064,0.07446777343750001,0.0245458984375,2,15,5,0.3017578125,7,39,7.730769230769295
32065,0.07446777343750001,0.0245458984375,2,24,5,0.3017578125,7,39,2.1574946792338094
